dia	mes	personaje	texto
2	6	153	1911/6/2. Egunkari nagusiek Mondújarreko Gergal-Santa Fe trenbidearen elektrifikazioaren berri eman zuten. Espainian elektrifikatutako trenbide zabaleko lehen linea izan zen.
3	6	154	1976/6/3. Vicente Tofiño de San Miguel kosmografoak Venus Eguzkiaren aurretik igarotzen ikusi zuen, eklipse batean. Interes zientifiko handiko ohar batzuk argitaratu zituen.
4	6	155	1927/6/4. Lehen bidaiari-hegaldi komertzial transatlantikoa burutu zen. Wright-Bellanca WB-2 batean egin zen bidaia, Estatu Batuetatik Alemaniaraino.
5	6	156	2002/6/5. AMIT Asociación de Mujeres Investigadoras y Tecnólogas elkartea ofizialki aurkeztu zen. Elkarte horrek zera sustatzen du, emakumeek ikertze-jardueretan berdintasunean sartzeko aukera izatea, jakintzaren adar guztietan eta sektore teknologikoan.
6	6	157	1907/6/6. "Persil" merkaturatu zen. Akzio automatikoko lehen arropa-detergentea izan zen.
7	6	158	1886/6/7. Henri Coandă ingeniaria jaio zen. Abiazioaren aitzindaria izan zen, eta erreakzio-motor batek abiarazitako lehen hegazkina eraiki zuen.
8	6	159	2021/6/8. Ozeanoen Mundu Eguna. Ozeanoek eguneroko bizitzan duten zeregina gogora ekartzea du helburutzat. Gure planetako birikak dira, eta arnasten dugun oxigenoaren zati handiena sortzen dute.
9	6	160	1812/6/9. Johann Gottfried Galle astronomoa jaio zen. Neptuno aurkitu zuen, Urbain Le Verrierren kalkulu eta jarraibideei jarraikiz.
10	6	161	1948/6/10. Espainian telebistaren lehen erakustaldia egin zen. Bartzelonako Nazioarteko Erakustazokaren esparruan izan zen.
11	6	162	1910/6/11. Jacques-Yves Cousteau ozeanografo eta esploratzailea jaio zen. Urpeko munduaren dibulgatzaile ospetsuenetako bat da. Calypso ontzitik hainbat film eta dokumental grabatu zituen. Itsas ingurunea kutsaduratik babestu beharra defendatu zuen lehen pertsonetako bat ere izan zen.
12	6	163	1985/6/12. Blake Ross software ingeniaria jaio zen. Mozilla nabigatzaileak sortzeko lanetan aritzeagatik da ezaguna.
13	6	164	1868/6/13. Wallace Clement Sabine fisikaria jaio zen. Akustika arkitektonikoaren fundatzailea izan zen, baita Boston's Symphony Hall-eko kontsultore akustikoa ere. Kontzertu-areto hori munduko onenetako bat da, akustika bikaina duelako.
14	6	165	1880/6/14. Nicolás Achúcarro neurozientifikoa jaio zen. Ramón y Cajalen dizipuluetako bat izan zen, eta zelula glialen azterketan espezializatu zen.
15	6	166	1962/6/15. Talidomidak fetu-garapenean deformazioak eragiten zituela aurkitu zen. Haurdunaldiko lehen hilabeteetan goragaleak arintzeko erabiltzen zen lasaigarri hori.
16	6	167	1963/6/16. Valentina Tereshkova espaziora bidaiatu zuen lehen emakumea izan zen.
17	6	168	2017/6/17. Sunita Williams astronauta, espazioan jarraian luzaroen egondako emakumea bihurtu zen, Nazioarteko Estazio Espazialean 188 egun eta 4 ordu eman baitzituen Lurretik kanpo.
18	6	169	1466/6/18. Ottaviano Petrucci inprimatzailea jaio zen. Tipo mugikorren bidez musika inprimatzeko sistema asmatu zuen. Sistema horrekin, 1501ean "Harmonice Musices Odhecaton" abesti bilduma inprimatu zuen. Historiako musika inprimatuko lehen edizioa izan zen.
19	6	170	1903/6/19. Rebeca Gerschman biokimikaria jaio zen. Gerschman teoria defendatu zuen, erradikal askeen bidezko oxigenoaren toxikotasunari buruzkoa, garaiko giro zientifikoaren asaldurarako.
20	6	171	2019/6/20. Margarita Salas ikertzaileak "2019ko Europako Asmatzailearen Saria" jaso zuen. DNA polimerasa biralaren patentea izan da bere ekarpen nagusietako bat, CSICen emankorrena.
21	6	172	1997/6/21. Alboko Esklerosi Amiotrofikoaren Nazioarteko Eguna ezarri zen. Mundu osoko paziente elkarteek bultzatzen dute, eta oraindik sendaezina den gaixotasun horri buruz informatzea eta sentsibilizatzea du helburu.
22	6	173	1939/6/22. Ada Yonath kristalografoa jaio zen. Kimikaren Nobel Saria irabazi zuen, erribosomen egituraren gainean egin zituen lan aitzindariengatik.
23	6	174	1912/6/23. Alan Turing matematikaria, logikaria eta kriptoanalista jaio zen. Informatika modernoaren bide-erakuslea izan zen.
24	6	175	1400/6/24. Johannes Gutenberg jaio zen. Tipo mugikorren bidezko inprimategi modernoa asmatu zuen.
25	6	176	1866/6/25. Eloísa Díaz jaio zen, Hego Amerikako lehen emakume medikoa. Txileko Eskola Zerbitzu Medikoaren zuzendaria izanik, Eloisak hainbat eta hainbat ikasleri txertoa jartzea lortu zuen, eta errakitismoaren eta tuberkulosiaren aurka borrokatu zen.
26	6	177	1974/6/26. Estatu Batuetako Ohioko Marsh supermerkatuan, barra-kode baten munduko lehen irakurketa egin zuten. Txikle-pakete batekin egin zuten.
27	6	178	1915/6/27. Traude Bernert fisikaria jaio zen. Berta Karlik kimikariarekin batera, astatoaren 215, 216 eta 218 isotopoak identifikatu zituen. Elementu hori radioaren, torioaren eta aktinioaren deskonposizioan zehar sortzen zela ere aurkitu zuten.
28	6	179	2013/6/28. MITen, X izpien bidez ikusteko eskuzko gailu bat asmatu zuten, horman barrena mugimendua detektatzen duena.
29	6	180	1954/6/29. Stanley Cohenek, Rita Levi-Montalcinik eta Viktor Hamburgerrek nerbio-hazkundeko lehen faktoreari buruzko aurkikuntza argitaratu zuten. Lehen biek Fisiologia edo Medikuntzaren Nobel Saria jaso zuten, 1986. urtean.
30	6	181	1905/6/30. Albert Einsteinek "Mugitzen ari diren gorputzen elektrodinamikari buruz" izeneko lana argitaratu zuen. Erlatibitate bereziaren teoriaren hasiera izan zen.
1	7	182	1935/7/1. Josefina Castellví biologo eta ozeanografoa jaio zen. Antartikan nazioarteko espedizio batean parte hartu zuen lehen emakume espainiarra izan zen. Espainiako lehen base antartikoaren instalazioan lagundu zuen.
2	7	183	1982/7/2. Richard Walters Lawrencek heliozko 45 globo lotu zituen lorategiko aulki batera, eta aulkia 4.500 metrotik gora igo zen. Estatu Batuetako Indar Amatuetako pilotua izateko ametsa zapuztuta, modu xelebre horretan bere kasa hegan egitea erabaki zuen.
3	7	184	1865/7/3. Mary A. Kingsbury irakaslea jaio zen. Erasmus Hall Institutuko liburutegiaren ardura hartu zuen, eta historiako lehen emakume eskola-liburuzain bihurtu zen.
4	7	185	2019/7/4. PRISMA aurkeztu zen, Madrilgo Zientzia Naturalen Museo Nazionalean. PRISMA, Zientzia, Teknologia eta Berrikuntzaren Aniztasun Afektibo-sexualerako eta Genero Aniztasunerako Elkartea da. Zientziaren munduan LGTBIQA+ kolektiboaren agerikotasuna areagotzea du helburutzat.
5	7	186	1904/7/5. Ernst Walter Mayr biologoa jaio zen. Neodarwinismoaren garapenean aitzindaria izan zen, eboluzioaren teoria eta genetikaren alorreko ezagutzak uztartuz.
6	7	187	1885/7/6. Louis Pasteurrek amorruaren txertoa jarri zion Josef Meister 9 urteko haurrari, txakur amorratu batek hari koska egin ondoren. Arrisku handiko jarduna izan zen, Pasteur ez zelako mediku-titulazioaren jabe, eta txertoa oraindik onartu gabe zegoelako. Alabaina, horri esker Josefen bizitza salbatu zuen.
7	7	188	1924/7/7. Natalia Petrovna Bekhtereva neurozientifiko eta psikologoa jaio zen. Pentsamenduaren, oroimenaren, emozioen eta sormenaren garun-mekanismoak aztertzeko metodo konplexu bat jarri zuen abian.
8	7	189	1926/7/8. Elizabeth Kubler-Ross psikiatra jaio zen. Heriotzaren psikologiako aditu nagusitzat hartzen da gaur egun.
9	7	190	2015/7/9. IGMEko, Unibertsitate Konplutentseko eta Bartzelonako Unibertsitateko ikerketa-talde batek orain 105 milioi urteko euli bat aurkitu zuen, kontserbazio-egoera ezin hobean. Eulia anbarrean kontserbatu zen Kantabriako El Soplao kobazuloan, eta oraindik polen-karga bat zeraman abdomenean.
10	7	191	2020/7/10. CSICk nanozundak garatu zituen, gaixotasunen diagnostiko eta tratamendurako aplikazioekin. Nanozundak erabil daitezke gaixotasun baten lehen estadioak detektatzeko, botikak modu fokalizatuan bideratzeko, eta DNA edo birusak garraiatzeko.
11	7	192	1901/7/11. Angélique Arvanitaki neurofisiologoa jaio zen. Nick Chalazonitisekin batera, neuronen jarduera elektrikoa ikertu zuen, barraskilo arruntaren nerbio-zuntzak erabiliz.
12	7	193	1764/7/12. Lehen aldiz nebulosa bat begiztatu zuten. Charles Messier astronomoak aurkitu zuen, eta bere katalogoaren 27 zenbakia jarri zion (M27). Dumbbell nebulosa ere esaten zaio.
13	7	194	1923/7/13. Lehen aldiz onartu zen fosilizatutako dinosauro-arrautzak zeudela. Gobiko basamortuan aurkitu zituzten. Hasiera batean uste zuten Protoceratops espeziearenak zirela, baina 1995ean Oviraptor espeziearen arrautzak zirela ebatzi zuten.
14	7	195	1862/7/14. Florence Bascom kristalografian, mineralogian eta petrografian aditua jaio zen. Estatu Batuetako lehen geologoa izan zen.
15	7	196	1799/7/15. Napoleonen Egiptoko kanpainan, Rosetta harria aurkitu zuten. Harri horretan inskripzioak zeuden, grekoz, hieroglifikoz, eta demotikoz idatziak, eta hieroglifiko egiptoarrak deszifratzeko gakoa izan zen.
16	7	197	2020/7/16. ESA Europako Agentzia Espazialaren eta NASAren Solar Orbiter misioak, CSICen parte-hartzearekin, Eguzkiaren lehen mapa magnetikoa lortu zuen. Eguzki-eremu magnetikoak eragiten ditu Eguzkian ikus ditzakegun fenomenoak, hala nola orbanak, ekaitzak edo eguzki-haizea.
17	7	198	1819/7/17. Eunice Newton Foote klimatologo eta asmatzailea jaio zen. Aitzindaria izan zen berotegi-efektuaren ikerketan. Hiru urtez aurrea hartu zien John Tyndallen esperimentuei; CO2ak atmosferan eragindako efektuaren aurkitzailetzat hartzen zen Tyndall.
18	7	199	1881/7/18. María de Maeztu pedagogoa eta humanista jaio zen. Emakumeen irakaskuntzako erakunde pedagogiko nagusietako zuzendaria izan zen: Residencia Internacional de Señoritas, Instituto-Escuela eta Lyceum Club Femenino. Ikasleen eskura prestakuntza intelektual bat jartzeko, eta horren bitartez, gizartean berdintasunezko parte-hartze integrala eta erantzukizun zibila sustatzeko lan egin zuen.
19	7	200	1945/7/19. Nancy Wexler genetista jaio zen. Huntingtonen gaixotasuna eragiten duen genearen lokalizazioa aurkitzeko lanetan lagundu zuen.
20	7	201	1969/7/20. Apolo 11 misioaren Eagle izeneko ilargi-modulua Ilargiratzeko saioa arrakastaz burutu zen.
21	7	202	2013/7/21. Larruazal elektroniko sentikor eta malgu bat garatu zen, benetako giza larruazalaren antzekoa. Larruazal horrek zenbait presio-maila detekta ditzake, eta horien aurrean erantzun dezake.
22	7	203	1871/7/22. Eskozian, Tay ibaiko trenbide-zubiaren lehen harria jarri zuten. Bere garaian, munduko zubirik luzeena izan zen.
23	7	204	2020/7/23. CSICen parte-hartzea izan zuen azterlan batek aditzera eman zuenez, giza jarduerak sorrarazitako zarata sismikoa % 50 murriztu zen. Eta murrizketa hori gertatu zen, koronabirusaren pandemiaren eraginez hartutako konfinamendu-neurrien ondorioz.
24	7	205	2009/7/24. Canarias Teleskopio Handia inauguratu zen, Roque de los Muchachos-eko Behatokian. Munduko teleskopio optikorik handiena bihurtu zen.
25	7	206	1938/7/25. Davida Teller psikologoa jaio zen. Bere lana lagungarria izan zen haurren ikusmenaren garapena ulertzeko.
26	7	207	2005/7/26. Mangladien ekosistemaren defentsarako Nazioarteko lehen Eguna egin zen.
27	7	208	1995/7/27. Sheila Rowan irakasleak grabitazio-uhinen gaineko doktorego-tesia aurkeztu zuen.
28	7	209	1635/7/28. Robert Hooke zientzialari ingelesa jaio zen. Micrographia liburuan, bizitza mikroskopikoa deskribatu zuen lehen pertsona izan zen. Zelula hitza liburu horretan agertu zen lehen aldiz.
29	7	210	1796/7/29. Walter Hunt asmatzailea jaio zen. Kateorratza sortu zuelako da ezaguna.
30	7	211	1889/7/30. Vladimir Zworykin ingeniaria jaio zen. Izpi katodikoen hodia asmatu zuen, eta horregatik, telebistaren aita dela esaten da.
31	7	212	1923/7/31. Stephanie Kwolek kimikaria jaio zen. Kevlar polimeroa sintetizatu zuen lehen aldiz. Pneumatikoen, itsas belen edo balen aurkako txalekoen fabrikazioan erabiltzen da polimero hori, arina delako eta aparteko erresistentzia duelako.
1	8	213	1920/8/1. Henrietta Lacks jaio zen. 31 urterekin, umetoki-lepoko minbizi baten ondorioz hil zen, eta, nahi gabe, bere minbizi-zelulen emaile bihurtu zen. Zelula horiekin zelula-kultiboko linea hilezkor bat garatu zen, HeLa izenekoa (haren izenaren akronimoa), milaka eta milaka azterlan zientifiko egiteko baliagarri izan dena.
2	8	214	1941/8/2. Jules Hoffmann biologoa jaio zen. Nobel Saria jaso zuen immunologiaren alorrean egindako azterlanengatik. Lan horiek goitik behera aldatu zuten immunologia-sistema ulertzeko modua, haren aktibaziorako funtsezkoak diren printzipioak aurkituz.
3	8	215	1958/8/3. Nautilus urpekari atomikoa Ozeano Artikoko azal izoztuaren azpitik igaro zen, Ozeano Baretik Atlantikoraino.
4	8	216	1932/8/4. Frances Elizabeth Allen informatikaria jaio zen. 2006an, Turing Saria irabazi zuen lehen emakumea izan zen.
5	8	217	2013/8/5. Japoniako konpainia batek tirita berrerabilgarri bat garatu zuen hipertentsio arterial kronikoa tratatzeko, bisoprolola etengabe askatuz.
6	8	218	1991/8/6. 1 Tim Berners-Lee konputazioko zientzialariak lehen web zerbitzaria jarri zuen martxan. CERN Ikerketa Nuklearrerako Europako Erakundean zegoen zerbitzari hori."
7	8	219	1933/8/7. Elinor Ostrom politologoa jaio zen. 2009an, Ekonomiaren Nobel Saria lortu zuen lehen emakumea izan zen. Pertsonek baliabide komunen produkzio-mailak epe luzera iraunarazteko nola interaktuatzen duten aztertu zuen.
8	8	220	1948/8/8. Svetlana Savítskaya ingeniari eta kosmonauta jaio zen. Kanpo-espaziora bi bidaia egin zituen eta hartan barrena ibili zen lehen emakumea izan zen.
9	8	221	1966/8/9. Glenn Postolski ikertzailea jaio zen. Gizarte Zientzien alorreko lanak egin zituen, komunikabide masiboen politikak eta komunikaziorako eskubidea ardatz hartuta.
10	8	222	2017/8/10. IGMEko talde batek lehen aldiz lortu zuen sumendi-lumen irudi akustikoen sekuentzia bat, urpeko sumendi baten erupzioan zehar. El Hierro uhartetik gertu egin zen ikerketa.
11	8	223	1858/8/11. Christiaan Eijkman Nobel Saria jaio zen. Bitaminek dietan duten garrantzia aurkitu zuelako da ezaguna. B1 bitamina aurkitu zuen.
12	8	224	1898/8/12. María Vasílievna Kliónova itsas geologoa jaio zen. Antartikan ikertu zuen lehen emakumea izan zen.
13	8	225	1797/8/13. Casiano de Prado ingeniari eta geologoa jaio zen. 1862an, Iberiar penintsulako lehen aurkikuntza paleolitikoetan parte hartu zuen Manzanares ibaiaren haranean.
14	8	226	1777/8/14. Hans Christian Oersted jaio zen. Elektromagnetismoa aurkitu zuen fisikaria izan zen.
15	8	227	1896/8/15. Gerty Cori biokimikaria jaio zen. Carl senarrarekin batera, glukogenoaren bihurketa katalitikoaren mekanismoa aurkitu zuen: Coriren zikloa. Fisiologia eta Medikuntzaren Nobel Saria irabazi zuen lehen emakumea izan zen.
16	8	228	1884/8/16. Hugo Gernsback fikzio-zientziaren aitzindaria jaio zen. Egundoko talentua eta irudimena zuen, eta patente ugari erregistratu zituen. Esaterako, irratiko soinua hobeto hartzeko tresna bat, argizaririk gabe bipiltzeko metodo berri bat, edo makina hegalariak lurreratzeko plataforma bat.
17	8	229	1737/8/17. Antoine Parmentier agronomo, higienista eta nutrizionista jaio zen. Haren ahaleginei esker, patataren hazkuntza debekatzen zuten legeak indargabetu ziren. Ordura arte, Europako ia herrialde guztiek uste zuten patata ezin zitekeela jan.
18	8	230	1824/8/18. Real Conservatorio de Artes y Oficios sortu zen; informazio teknologiko guztia biltegiratzen du, eta jabetza intelektualaren erregistroa da.
19	8	231	1790/8/19. Edward John Dent erlojugilea jaio zen. Zehaztasun handiko erlojuak eta itsas kronometroak sortu zituelako da ezaguna. Londreseko Big Ben dago bere erlojurik ospetsuenen artean.
20	8	232	1994/8/20. Txertaketa-kanpainei esker, Amerikako kontinentean poliomielitisa desagerrarazia zela deklaratu zuten.
21	8	233	1961/8/21. Mara Dierssen neurobiologoa jaio zen. Mundu-mailako aditua da neurobiologia eta farmakologiaren eremuan, eta Downen sindromearen ikertzaile nagusietako bat.
22	8	234	1945/8/22. Ida Henrietta Hyde fisiologoa hil zen. Mikroelektrodo bat garatu zuen, ehunak estimulatzeko behar adinako indarra izanik, zelula batetik ehuna ateratzeko behar bezain txikia zena.
23	8	235	1931/8/23. Hamilton O. Smith mikrobiologoa jaio zen. Nobel Saria jaso zuen murrizketa-entzimen gainean egin zituen lanengatik; puntu jakinetan azido nukleikoak ebakitzeko gai dira entzima horiek.
24	8	236	1890/8/24. Pearl Louella Kendrick bakteriologoa jaio zen. Tosferinaren aurkako lehen txertoa garatu zuelako da ezaguna. Grace Eldering osasun publikoko adituarekin eta Loney Gordon kimikariarekin elkarlanean egin zuen.
25	8	237	1900/8/25. Hans Adolf Krebs Nobel Saria jaio zen. “Krebsen zikloari” izena eman zion: ibilbide metaboliko bat da, zelula aerobioetarako energia lortzea ahalbidetzen duena.
26	8	238	1860/8/26. Luis Siret y Cels ingeniari eta arkeologoa jaio zen. Kultura argarikoaren lehen aztarnategiak aurkitu zituen, Espainiako ipar-ekialdean. Gizarte argarikoa garrantzitsuenetako bat izan zen Europan, K.a. III. eta II. milurtekoetan.
27	8	239	1956/8/27. Calder Halleko zentral nuklearra, Erresuma Batuan biztanleria zibila elektrizitatez hornitu zuen lehena izan zen.
28	8	240	2013/8/28. Miniaturazko giza garunak hazi ziren, ilar baten tamainakoak, ama zeluletatik abiatuta.
29	8	241	2019/8/29. Geneek sexu-jokabidean duten garrantzia aztertzeko egin den azterlanik handienak berretsi zuen homosexualitatearen gen bakar bat ez dagoela, giza sexualitatearen konplexutasuna agerian jarriz.
30	8	242	1984/8/30. Discovery espaziontzia lehen aldiz aireratu zen. NASArentzat 39 misio egin zituen.
31	8	243	1912/8/31. Robert F. Borkenstein ikertzailea jaio zen. Alkohol-kontsumoak trafiko-istripuetan duen eragina ikertu zuen. Alkoholimetroa asmatu zuen, botatako arnasan alkohol-maila neurtzeko tresna iraultzaile bat.
1	9	244	1914/9/1. Martha hil zen, azken uso migratzailea (Ectopistes migratorius). 29 urte zeuzkan, eta itxian bizi zen Cincinnatiko zoologikoan, Estatu Batuetan. Mende bakar batean Ipar Ameriketan hegazti ugariena izatetik desagertzera igaro zen.
2	9	245	1948/9/2. Christa Corrigan McAuliffe bigarren hezkuntzako irakaslea jaio zen. 11.000 eskatzaile baino gehiagoren artean hautatu zuten NASAren "Irakaslea Espazioan" Proiektuan parte hartzeko. Christaren asmoa zen espaziotik esperimentuak egitea eta eskolak ematea. Bidaian zeraman transbordadore espaziala lehertu zen, aireratu eta 72 segundora.
3	9	246	1938/9/3. Ryōji Noyori kimikaria jaio zen. Nobel Saria irabazi zuen katalisiari buruz egin zituen ikerketengatik. Besteak beste, mentola sortzeko erabiltzen dira haren metodoak.
4	9	247	1998/9/4. Larry Pagek eta Sergei Brinek Google sortu zuten. Bilatzailea 1996an garatzen hasi zen ikerketa-proiektu baten antzera, biak doktoregoa ikasten ari zirela.
5	9	248	1885/9/5. Lehen gasolindegia ezarri zen. Indianako garaje batean izan zen, Estatu Batuetan.
6	9	249	1860/9/6. Jane Addams soziologoa eta Bakearen Nobel Saria jaio zen. Aitzindaria izan zen gizarte-lanean, eta Hull House harrera-etxea sortu zuen, emakumeentzako erakunde soziologiko gisa ere baliatu zena. Haren lanek eragin handia izan zuten Chicagoko soziologia-eskolan.
7	9	250	2016/9/7. IGMEko, CSICeko Instituto de Ciencias del Mar-eko eta Kanaria Handiko Las Palmaseko Unibertsitateko ikertzaileek aurkitu zutenez, El Hierro uharteak bere bolumenaren % 40 galdu zuen luizi itzel baten ondorioz. Megairristatze hori orain 80.000 urte gertatu zen.
8	9	251	1871/9/8. Mary Elizabeth Hallock-Greenewalt asmatzailea eta pianista jaio zen. Haren patenteek bide eman zuten Sarabet "koloretako organoa" garatzeko. Tresna horrek koloretako argiak emititzen zituen, musikarekin sinkronizatuta zeuden intentsitate eta ñabardurekin.
9	9	252	1936/9/9. Daisy Roulland-Dussoix mikrobiologo molekularra jaio zen. Murrizketa-entzimen aurkikuntzan lagundu zuen.
10	9	253	1984/9/10. Aztarna genetikoaren teknika abian jarri zen, pertsonak DNAren arabera identifikatzea ahalbidetzen duena. Pixka bat geroago, teknika hori kriminologian erabiltzen hasi zen.
11	9	254	1942/9/11. Deirdre McCloskey ekonomialaria eta ekonomiaren historialaria jaio zen. Besteak beste, mundu modernoko jatorrien, ekonomian esangura estatistikoa gaizki erabiltzearen eta kapitalismoaren gaineko ikerketak egin zituen.
12	9	255	1958/9/12. Jack Kilby ingeniari elektrikoak munduko lehen zirkuitu integratua aurkeztu zuen. Zirkuitu integratuei txipak edo mikrotxipak ere esaten zaie.
13	9	256	1956/9/13. IBM enpresak aurkeztu zuen diskoan biltegiratzeko aukera ematen zuen lehen ordenagailu komertziala.
14	9	257	1849/9/14. Iván Pavlov fisiologoa eta Nobel Sariduna jaio zen. Txakurrengan estimulua-erantzuna eredua deskribatu zuen: Pavloven baldintzapena.
15	9	258	1885/9/15. Constantin Fahlbergek sakarina patentatu zuen. Gozagarri hori lehen aldiz sintetizatu zen harrikatz-mundrunaren deribatuetatik abiatuta.
16	9	259	1884/9/16. Anestesia lokalaren eraginpeko lehen ebakuntza egin zen. Arrakasta izan zuenez, haren erabilera odontologian orokortu zen.
17	9	260	1857/9/17. Konstantín Tsiolkovski fisikaria eta matematikaria jaio zen. 10 urte zituela gor geratu zen, eta guztiz autodidakta izan zen. Haren lanek ahalbidetu zuten lehen satelite artifiziala orbitan jartzea, eta pertsona batek espaziora lehen bidaia egitea.
18	9	261	1819/9/18. Jean Foucault fisikaria jaio zen. Giroskopioa asmatu zuen, baita Lurraren biraketa frogatzen duen pendulua ere.
19	9	262	1991/9/19. Paleolitoko pertsona baten (Ötzi) hondar momifikatuak aurkitu zituzten Alpeetako Similaun glaziarrean, Italiaren eta Austriaren arteko mugan.
20	9	263	1906/9/20. Vera Faddéyeva matematikaria jaio zen. Algebra linealari buruzko lehen lanetako batzuk argitaratu zituen.
21	9	264	1866/9/21. Charles Nicolle medikua eta mikrobiologoa jaio zen. Nobel Saria irabazi zuen, zorriak tifusaren transmisore nagusiak zirela aurkitu zuelako.
22	9	265	1863/9/22. Alexandre Yersin mikrobiologoa jaio zen. Izurri bubonikoa eragiten duen bakterioaren koaurkitzailea izan zen, haren omenez Yersinia pestis izendatu zutena.
23	9	266	1889/9/23. Nintendo sortu zen. Japoniar karta-sorten fabrika bat zen hasiera batean. 1975ean bideojokoak garatzen hasi ziren, eta, gaur egun, munduko enpresa nagusietako bat da entretenimenduko softwarearen eta hardwarearen alorrean.
24	9	267	1905/9/24. Severo Ochoa mediku eta zientzialari espainiarra jaio zen. Nobel Saria irabazi zuen RNA azido erribonukleikoari buruz egin zituen azterlan aitzindariengatik.
25	9	268	1899/9/25. Margaret Kennard neurologoa jaio zen. Primateen kalte neurologikoaren efektuen gainean egin zituen azterlanengatik da ezaguna.
26	9	269	2013/9/26. NASAko Curiosity Roverrek ur-kantitate handi bat detektatu zuen, erraz iristeko modukoa, Marteko Gale kraterrean.
27	9	270	1818/9/27. Cosme García asmatzailea jaio zen. Urpekari-prototipo bat patentatu zuen lehen espainiarra izan zen. Behin eraiki ondoren, urpekari hori arrakastaz probatu zuten Alacanteko portuan, 1860an.
28	9	271	1889/9/28. Pisu eta Neurriei buruzko lehen Konferentzia Orokorrean metro baten luzera honela definitu zuten: platino eta iridioko (% 10) aleazio batez fabrikatutako barra bateko bi lerroen arteko distantzia, izotzaren fusio-puntuan neurtua.
29	9	272	1938/9/29. Enrico Fermi fisikaria jaio zen. 1938an, Fisikaren Nobel Saria jaso zuen, erradioaktibitate artifizialari buruz egin zituen lanengatik. Lau urte geroago, giza jatorriko lehen erreakzio nuklearra egin zuen.
30	9	273	2009/9/30. Mallorcako Behatoki Astronomikoak iragarri zuen '2009QG31 La Sagra' kometa aurkitua zuela, Marteren orbitatik haratago.
1	10	274	1883/10/1. Espainian, telefonoz komunikatzeko lehen saiakera egin zuten. Linea Errege Jauregiaren eta Ministerioen artean zegoen, Madrilen.
2	10	275	1846/10/2. Gaztelako telegrafia optikoko linea abian jarri zen, Madriletik Iruneraino. José María Mathék asmatu zuen.
3	10	276	1946/10/3. Rosalind Franklin kimikari eta kristalografoak ikatzaren kimikaren gaineko doktorego-lana argitaratu zuen. DNAren egitura molekularra ulertzeko funtsezko lana izan zen.
4	10	277	1949/10/4. Mariano Barbacid biokimikaria jaio zen. Lehen giza onkogenea isolatu zuen (H-ras). Onkogeneen eraginez, zelula arrunt bat minbizi bat garatuko duen zelula gaizto bihurtzen da.
5	10	278	1963/10/5. Francisco Juan Martínez Mojica mikrobiologoa jaio zen. Arkeoetan CRISPR sekuentzia errepikatuak aurkitu zituen. Aurkikuntza horretan oinarritzen da, neurri batean, edizio genetikoko CRISPR-Cas teknologia.
6	10	279	1897/10/6. Florence Barbara Seibert biokimikaria jaio zen. Tuberkulinatik eratorritako proteina (PPD-S) arazteko metodo bat garatu zuen. Horri esker, tuberkulosirako test fidagarri bat sortzeko aukera izan zuten.
7	10	280	1948/10/7. Diane Ackerman naturalista eta idazlea jaio zen. Zientzia-zabalkundeko lanetan, poesia eta estilo xume bat uztartzen ditu, eta, horri esker, argitalpen-arrakasta handia lortu du.
8	10	281	1958/10/8. Ake Senning zirujau suediarrak lehen taupada-markagailua inplantatu zuen.
9	10	282	1902/10/9. Nazioarteko komunitate zientifikoak Altamirako kobako Paleolito artearen egiazkotasuna onetsi zuen. María Sanz de Sautuola neskatoak lehenago aurkituak zituen pintura horiek, Marcelino aitarekin kobazuloan barrena zebilela.
10	10	283	1966/10/10. Carolyn Bertozzi kimikaria jaio zen. Gluzidoek minbizian, artritisean, tuberkulosian eta beste hainbat gaixotasunetan betetzen duten zeregina aztertu zuen.
11	10	284	1755/10/11. Fausto Delhuyar kimikaria jaio zen. Kimikaria ere bazen Juan José anaiarekin batera, wolframioa isolatu zuten lehen aldiz (74 zenbakia Taula Periodikoan). Metal hori oso urria da, eta oso preziatua aplikazio ugari dauzkalako.
12	10	285	1920/10/12. Leslie Barnett mikrobiologoa jaio zen. Geneen egituraren eta funtzioen gaineko aurrerapen eta aurkikuntza nagusietako batzuetan lagundu zuen.
13	10	286	1914/10/13. Garret Morganek gas-maskara patentatu zuen. Urte batzuk geroago, asmatzaile horrek semaforo automatikoa sortu zuen, ohartarazpen-argiaz hornitua.
14	10	287	1865/10/14. Edith Rebecca Saunders genetista jaio zen. Zeregin garrantzitsu bat bete zuen Mendelen legearen berraurkikuntzan eta landareen genetika ulertzean.
15	10	288	1902/10/15. Amparo Poch y Gascón medikua jaio zen. Haur-heziketan espezializatu zen, eta hezkuntza-lan handia egin zuen klase sozial apalenen artean, gaixotasun benereoak saihesteko.
16	10	289	1969/10/16. Doñana Parke Nazional bihurtu zen. Bertako padura paseko, hazkuntzako eta negu-pasako gunea da Europako eta Afrikako milaka hegaztirentzat.
17	10	290	1919/10/17. Espainiako lehen metro-linea abian jarri zen. Puerta del Soletik Cuatro Caminosera zihoan, Madrilen.
18	10	291	1799/10/18. Christian Schoenbein kimikaria jaio zen. Nitrozelulosa aurkitu zuen, eta ozonoari izena eman zion.
19	10	292	1924/10/19. Rosemary Bamforth patologoa jaio zen. Itsasontzietako langileen minbiziagatiko heriotzaren eta amiantoarekiko esposizioaren arteko lotura ezarri zuen.
